DestinationTag,Exchange,Date of appearance,Customer,Customer confidence,xRapid confidence,Comment
22794384,Bitso,02/26/2019,InstaReM,Medium,High,Based on comment of InstaReM CEO (https://twitter.com/crypto_narcist/status/1150241971077672961)
25370527,Bitso,02/05/2018,MoneyGram,High,High,Highly increased activity right after MoneyGram anouncement
25490962,Bitso,09/14/2017,Ripple,High,High,Confirmed to be owned by Ripple (David Swartz's xRapid demo)
47175592,Bitso,08/12/2019,,,High,Highly active tag!
30106572,Bitso,12/01/2017,,,Low,Probably not xRapid related due to the pattern (rounded XRP amounts)
89659311,Bitso,10/06/2018,,,Low,Probably not xRapid related due to the pattern (rounded XRP amounts)
96604252,Bitso,08/23/2018,,,Low,"Probably not xRapid related due to the pattern (huge XRP amounts, sporadic activity)"
5,Coins.Ph,05/31/2018,,,High,Very active tag!
967,Coins.Ph,08/08/2018,Ripple,Medium,High,Very similar pattern to 25490962
149411,Coins.Ph,04/01/2019,Ripple,Low,High,"Very similar pattern to 25490962, but also much less active than 967"
158068,Coins.Ph,03/19/2019,,,High,Highly active tag!
160728,Coins.Ph,03/13/2019,InstaReM,Medium,High,Based on comment of InstaReM CEO (https://twitter.com/crypto_narcist/status/1150241971077672961)
1130,Coins.Ph,08/09/2018,,,Low,Probably not xRapid related due to the pattern (rounded XRP amounts)
